b'17'-Erreur : 'utf-8' codec can't decode byte 0xe2 in position 6312: invalid continuation byte 
b'1'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 29: ordinal not in range(128) 
b'2'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 486: ordinal not in range(128) 
b'3'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 43: ordinal not in range(128) 
b'5'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 100: ordinal not in range(128) 
b'6'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 156: ordinal not in range(128) 
b'7'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 2042: ordinal not in range(128) 
b'8'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 504: ordinal not in range(128) 
b'9'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'10'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 207: ordinal not in range(128) 
b'11'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 94: ordinal not in range(128) 
b'12'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'13'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'14'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'15'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'16'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'17'-Erreur : 'ascii' codec can't decode byte 0xe2 in position 6312: ordinal not in range(128) 
b'19'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 127: ordinal not in range(128) 
b'20'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 74: ordinal not in range(128) 
b'21'-Erreur : 'ascii' codec can't decode byte 0xe2 in position 421: ordinal not in range(128) 
b'22'-Erreur : 'ascii' codec can't decode byte 0xe2 in position 344: ordinal not in range(128) 
b'23'-Erreur : 'ascii' codec can't decode byte 0xe2 in position 304: ordinal not in range(128) 
b'24'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 27: ordinal not in range(128) 
b'25'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 54: ordinal not in range(128) 
b'26'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'27'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 96: ordinal not in range(128) 
b'28'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 123: ordinal not in range(128) 
b'29'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 30: ordinal not in range(128) 
b'30'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'31'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 36: ordinal not in range(128) 
b'32'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 65: ordinal not in range(128) 
b'34'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'35'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 43: ordinal not in range(128) 
b'36'-Erreur : 'ascii' codec can't decode byte 0xe2 in position 524: ordinal not in range(128) 
b'37'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'38'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 224: ordinal not in range(128) 
b'39'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 99: ordinal not in range(128) 
b'40'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'41'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 93: ordinal not in range(128) 
b'42'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'43'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 127: ordinal not in range(128) 
b'44'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'45'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 50: ordinal not in range(128) 
b'46'-Erreur : 'ascii' codec can't decode byte 0xe2 in position 579: ordinal not in range(128) 
b'47'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'48'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 66: ordinal not in range(128) 
b'50'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'51'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 553: ordinal not in range(128) 
b'52'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 74: ordinal not in range(128) 
b'53'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'54'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 172: ordinal not in range(128) 
b'55'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'56'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 170: ordinal not in range(128) 
b'58'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'59'-Erreur : 'ascii' codec can't decode byte 0xe2 in position 533: ordinal not in range(128) 
b'60'-Erreur : 'ascii' codec can't decode byte 0xf0 in position 102: ordinal not in range(128) 
b'61'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'62'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 99: ordinal not in range(128) 
b'63'-Erreur : 'ascii' codec can't decode byte 0xe2 in position 144: ordinal not in range(128) 
b'64'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'65'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 47: ordinal not in range(128) 
b'66'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'67'-Erreur : 'ascii' codec can't decode byte 0xf0 in position 221: ordinal not in range(128) 
b'68'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'69'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 496: ordinal not in range(128) 
b'70'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 160: ordinal not in range(128) 
b'71'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'72'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 191: ordinal not in range(128) 
b'73'-Erreur : 'ascii' codec can't decode byte 0xe2 in position 522: ordinal not in range(128) 
b'74'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 154: ordinal not in range(128) 
b'75'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'76'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 218: ordinal not in range(128) 
b'77'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'78'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 24: ordinal not in range(128) 
b'79'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 72: ordinal not in range(128) 
b'80'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'81'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 184: ordinal not in range(128) 
b'82'-Erreur : 'ascii' codec can't decode byte 0xc2 in position 91: ordinal not in range(128) 
b'83'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 35: ordinal not in range(128) 
b'84'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 5: ordinal not in range(128) 
b'85'-Erreur : 'ascii' codec can't decode byte 0xe2 in position 364: ordinal not in range(128) 
b'86'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'87'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'88'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 229: ordinal not in range(128) 
b'89'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 529: ordinal not in range(128) 
b'90'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'91'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 161: ordinal not in range(128) 
b'92'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 68: ordinal not in range(128) 
b'93'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'94'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 88: ordinal not in range(128) 
b'95'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'96'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 97: ordinal not in range(128) 
b'97'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'98'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 192: ordinal not in range(128) 
b'99'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 54: ordinal not in range(128) 
b'100'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'101'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 108: ordinal not in range(128) 
b'102'-Erreur : 'ascii' codec can't decode byte 0xe2 in position 14: ordinal not in range(128) 
b'103'-Erreur : 'ascii' codec can't decode byte 0xe2 in position 37: ordinal not in range(128) 
b'104'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'105'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 40: ordinal not in range(128) 
b'106'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'107'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 185: ordinal not in range(128) 
b'108'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 2757: ordinal not in range(128) 
b'109'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'110'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 62: ordinal not in range(128) 
b'111'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'112'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'113'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 55: ordinal not in range(128) 
b'114'-Erreur : 'ascii' codec can't decode byte 0xe2 in position 195: ordinal not in range(128) 
b'115'-Erreur : 'ascii' codec can't decode byte 0xc3 in position 45: ordinal not in range(128) 
b'17'-Erreur : 'utf-8' codec can't decode byte 0xe2 in position 6312: invalid continuation byte 
